code,title,title_ja,session_type,session_tracks,session_tracks_ja,date,time_from,time_to,hour_from,description,description_ja,session_id,url
IN128,AI in Retail: Personalization and Efficiency Across Channels,小売業におけるAI：チャネルを超えたパーソナライゼーションと効率化,Breakout-Session,Industry Impact,業界への影響,,,,,"Retail is evolving with AI and shifting consumer expectations. This panel explores how top retailers are transforming customer experiences across online and offline channels, leveraging social commerce and streamlining supply chains with data-driven insights. Experts will discuss AI’s impact on consumer interactions, predictive analytics, dynamic pricing and operational efficiency. Join us to discover how AI and data are redefining retail, enabling seamless, personalized and highly efficient shopping experiences.
","AIと消費者の期待の変化により、小売業は進化している。このパネルディスカッションでは、トップクラスの小売企業がオンラインとオフラインのチャネルでどのように顧客体験を変革し、ソーシャル・コマースを活用し、データ主導の洞察でサプライチェーンを合理化しているかを探ります。AIが消費者との対話、予測分析、ダイナミックプライシング、業務効率に与える影響について専門家が議論します。AIとデータがどのように小売業を再定義し、シームレスでパーソナライズされた高効率なショッピング体験を可能にしているのか、ぜひご参加ください。
",1738722591927001NFHd,https://reg.summit.snowflake.com/flow/snowflake/summit25/sessions/page/catalog/session/1738722591927001NFHd
MA208,AI Knowledge Graph Innovation Drives Life Sciences Media Planning and Strategy,AIナレッジグラフの革新がライフサイエンスのメディアプランニングと戦略を推進する,Breakout-Session,Marketing & Customer 360,マーケティング,,,,,"Transforming Snowflake data into an AI-enabled Knowledge Graph to analyze anonymized cross-channel media-to-patient journeys, enabling natural language exploration of pathway analytics, node clustering, and similarity algorithms. Leveraging RelationalAI's Snowflake native application, the solution introduces compliant Digital Twin simulation to reduce campaign planning costs. Moving beyond aggregate reporting to improve their annual media spend.",SnowflakeデータをAI対応のナレッジグラフに変換し、匿名化されたクロスチャネルのメディアから患者へのジャーニーを分析し、パスウェイ分析、ノードクラスタリング、類似性アルゴリズムの自然言語探索を可能にします。RelationalAIのSnowflakeネイティブアプリケーションを活用し、準拠したデジタルツインシミュレーションを導入することで、キャンペーンプランニングのコストを削減します。集計レポートを超えて、年間メディア支出を改善する。,1738277893399001Rpfz,https://reg.summit.snowflake.com/flow/snowflake/summit25/sessions/page/catalog/session/1738277893399001Rpfz
AI202,AI-Powered Music and Entertainment Insights with Luminate and Snowflake,LuminateとSnowflakeによるAIを活用した音楽とエンターテインメントのインサイト,Breakout-Session,AI & ML,AI&機械学習,,,,,"Unleash the power of AI and data to revolutionize the music and entertainment industry. Learn how Luminate and Snowflake are transforming the landscape. Explore how AI-driven insights, powered by Snowflake Cortex AI, can help to unlock the potential of Luminate's vast proprietary data set, enabling more-informed decisions and innovative strategies for the music and entertainment industry. Join us to explore the future of entertainment, powered by the combined strength of Luminate and Snowflake.
","AIとデータの力を解き放ち、音楽・エンターテインメント業界に革命を起こす。LuminateとSnowflakeがどのように状況を変革しているかをご覧ください。Snowflake Cortex AIを搭載したAI主導の洞察が、Luminateの膨大な独自データセットの可能性を引き出し、音楽・エンターテインメント業界のより情報に基づいた意思決定と革新的な戦略を可能にする方法をご覧ください。LuminateとSnowflakeの力を結集したエンターテインメントの未来をご一緒に探りましょう。
",1733515473125001zSxo,https://reg.summit.snowflake.com/flow/snowflake/summit25/sessions/page/catalog/session/1733515473125001zSxo
MA102,AI-Powered Next Best Offer: Scaling Personalized Engagement for 50M Customers,"AIを活用したネクスト・ベスト・オファー：5,000万人の顧客にパーソナライズされたエンゲージメントを提供",Theater-Session,Marketing & Customer 360,マーケティング,,,,,"Learn how Globe transformed customer engagement through an AI-driven Next Best Offer platform serving 50 million customers with hyper-personalized recommendations.  The evolution from rules-based to context-aware AI processes 2.5B real-time offer scores, achieving 217% higher campaign take-up and 204% better retention. Join us to learn how we transformed a traditional system into a modern AI solution using Snowflake and AWS to deliver next best offers at scale.","AIを活用したネクスト・ベスト・オファー・プラットフォームにより、5,000万人の顧客にパーソナライズされたレコメンデーションを提供。  ルールベースからコンテキストを意識したAIへの進化により、25億件のリアルタイムオファースコアが処理され、キャンペーン実施率が217%向上し、継続率が204%向上しました。SnowflakeとAWSを使用して、従来のシステムを最新のAIソリューションに変換し、大規模なネクスト・ベスト・オファーを実現した方法をご紹介します。",1737615591973001Pryq,https://reg.summit.snowflake.com/flow/snowflake/summit25/sessions/page/catalog/session/1737615591973001Pryq
BA220,Anaconda Gateway's Transformative Real-Time Analytics Journey,アナコンダ・ゲートウェイの革新的なリアルタイム分析の旅,Theater-Session,Others,その他,,,,,"Anaconda Gateway is a transformative product leveraging Snowflake's data infrastructure and real-time analytics. Join us to learn how we leverage Snowflake for three different use cases:

Solve license tracking and customer value challenges, achieving 95% accuracy in license usage by connecting organization IDs with user activity.
Conduct predictive analytics and AI-driven recommendations for package usage and security vulnerabilities.
Integrate telemetry data to drive insights for both Anaconda teams and customers while maintaining open-source community trust through robust data governance.

","Anaconda Gatewayは、Snowflakeのデータインフラストラクチャとリアルタイムアナリティクスを活用した革新的な製品です。3つの異なるユースケースでSnowflakeをどのように活用しているかをご紹介します：

ライセンス追跡と顧客価値の課題を解決し、組織 ID とユーザーアクティビティを結びつけることで、ライセンス使用の 95% の精度を達成します。
パッケージの使用状況とセキュリティの脆弱性に関する予測分析とAI主導の推奨を実施。
堅牢なデータガバナンスを通じてオープンソースコミュニティの信頼を維持しながら、遠隔測定データを統合してAnacondaチームと顧客の両方のインサイトを促進する。

",1739486833119001kbQP,https://reg.summit.snowflake.com/flow/snowflake/summit25/sessions/page/catalog/session/1739486833119001kbQP
AR224,Apache Iceberg™ Generalization with Snowflake in Multi-Data Catalog Environments,マルチデータカタログ環境におけるSnowflakeによるApache Iceberg™の汎化,Theater-Session,Others,その他,,,,,"The increasing complexity of data management in multi-data catalog environments, challenges due to data silos, inconsistent schema management and interpretability across diverse platforms requires innovate solutions for seamless data integration and accessibility. Barclays is strategically utilising Snowflake for Iceberg generalisation to enhance data unification, governance and accessibility in this multi catalog world.",マルチデータカタログ環境におけるデータ管理の複雑化、データサイロによる課題、一貫性のないスキーマ管理、多様なプラットフォーム間での解釈可能性などのため、シームレスなデータ統合とアクセシビリティのための革新的なソリューションが必要とされています。バークレイズは、このようなマルチカタログの世界において、データの統一、ガバナンス、アクセシビリティを強化するため、スノーフレークを戦略的に活用しています。,1737218647875001jWGi,https://reg.summit.snowflake.com/flow/snowflake/summit25/sessions/page/catalog/session/1737218647875001jWGi
DO304,Applying DevOps Principles in Data Warehouse Creation,データウェアハウス構築におけるDevOps原則の適用,Breakout-Session,Others,その他,,,,,"This session dives deep into the practical techniques Nordea employed to build a data warehouse using Snowflake and Airflow. Discover how to prioritize delivery pipelines, implement build-in quality through practices like test-driven development and trunk-based development, and automate the core layer using Data Vault 2.0 features like stored procedures and Snowflake scripting. We'll also explore how to leverage the ""ASYNC"" command and build a presentation layer with DYNAMIC tables. Join us for actionable insights and techniques to accelerate and optimize your own data warehouse creation process.
","このセッションでは、Nordea社がSnowflakeとAirflowを使用してデータウェアハウスを構築するために採用した実践的なテクニックを深く掘り下げます。デリバリーパイプラインの優先順位付け、テスト駆動開発やトランクベース開発などのプラクティスによるビルトイン品質の実装、ストアドプロシージャやSnowflakeスクリプティングなどのData Vault 2.0機能を使用したコアレイヤーの自動化の方法を発見してください。また、""ASYNC ""コマンドを活用し、DYNAMICテーブルを使用してプレゼンテーション・レイヤーを構築する方法を探ります。データウェアハウスの作成プロセスを加速し、最適化するための実用的な洞察とテクニックをご紹介します。
",1738144298537001u10S,https://reg.summit.snowflake.com/flow/snowflake/summit25/sessions/page/catalog/session/1738144298537001u10S
AD226,Architecting SaaS for Scale: Why and How to Build on Snowflake,スケールのためのSaaSアーキテクチャ：Snowflakeで構築する理由と方法,Breakout-Session,Application Development,アプリケーション開発,,,,,"A reliable, performant, secure and scalable data layer is critical for SaaS applications — but managing and scaling it remains a major challenge.
Snowflake is uniquely architected to address many of the challenges of SaaS applications. In this session, we’ll explore the key challenges of building SaaS applications, uncover opportunities for optimization, and demonstrate how Snowflake enables scalable, efficient and secure architectures.
","信頼性、パフォーマンス、安全性、拡張性の高いデータレイヤーはSaaSアプリケーションにとって不可欠ですが、その管理と拡張は依然として大きな課題です。
Snowflakeは、SaaSアプリケーションの多くの課題に対処するために独自に設計されています。本セッションでは、SaaSアプリケーション構築の主な課題を探り、最適化の機会を明らかにし、Snowflakeがいかにスケーラブルで効率的かつセキュアなアーキテクチャを実現するかを実演します。
",1736287124384001Rt0R,https://reg.summit.snowflake.com/flow/snowflake/summit25/sessions/page/catalog/session/1736287124384001Rt0R
MI222,A Seamless Migration Story: Paramount's Leap from Redshift to Snowflake,シームレスな移行ストーリー：パラマウントのRedshiftからSnowflakeへの飛躍,Breakout-Session,Others,その他,,,,,"Two years ago, Paramount wrestled with a complex, sluggish Redshift setup: slow loads, redundant code and scaling headaches. Enter Snowflake: a platform that promised to transform the fragmented system into a seamless, high-performance cloud solution. This talk covers Paramount's zero-downtime migration using homegrown tools such as Snowbridge and Avalanche, the Zero-Copy Cloning speed boost and the ways Snowflake Data Clean Rooms and Secure Data Sharing helped streamline ETLs. Join Paramount for a technical deep dive into how it scaled smarter, moved faster and redefined data agility — because in data, performance is king, stability is the kingdom, and they are building an empire.
","2年前、パラマウントは複雑で低調なRedshiftのセットアップと格闘していました。Snowflakeは、断片化されたシステムをシームレスで高性能なクラウドソリューションに変換することを約束するプラットフォームです。この講演では、SnowbridgeやAvalancheなどの国産ツールを使用したParamountのダウンタイムなしの移行、ゼロコピークローニングのスピードアップ、Snowflakeデータクリーンルームとセキュアデータ共有がETLの合理化に役立った方法について説明します。Paramount社がどのようにしてよりスマートにスケールアップし、より高速に移動し、データの俊敏性を再定義したのか、技術的なディープダイブにご参加ください。
",1738725029479001ntTG,https://reg.summit.snowflake.com/flow/snowflake/summit25/sessions/page/catalog/session/1738725029479001ntTG
MI219,A Seismic Shift: The Largest Fintech Migration in History,激震：史上最大のフィンテック移行,Breakout-Session,Others,その他,,,,,"Join this session to learn how PayPal optimized customer experience and exceeded SLAs at scale by modernizing its data infrastructure and analytics. Discover how the company consolidated disparate data sources into Snowflake, leveraging Iceberg for future platform flexibility, and centralized back-office analytics and ETL processes for efficiency. See how it delivers near real-time insights and reconciliation to clients, architects applications for global scalability and explores future developments such as ML for business outcome prediction and generative AI for dynamic network adaptation, positioning itself at the forefront of hyperscale fintech.
","このセッションでは、PayPalがデータインフラとアナリティクスを近代化することで、顧客体験を最適化し、SLAを上回る規模を実現した方法をご紹介します。同社がどのように異種のデータソースをSnowflakeに統合し、Icebergを活用して将来のプラットフォームの柔軟性を確保し、バックオフィスの分析とETLプロセスを一元化して効率化を図ったかをご覧ください。顧客にほぼリアルタイムの洞察と照合を提供し、グローバルなスケーラビリティを実現するアプリケーションを構築し、ビジネス成果予測のためのMLやダイナミックなネットワーク適応のためのジェネレーティブAIなどの将来の開発を探求し、ハイパースケール・フィンテックの最前線にどのように位置づけるかをご覧ください。
",1738705362274001L6e9,https://reg.summit.snowflake.com/flow/snowflake/summit25/sessions/page/catalog/session/1738705362274001L6e9
BA205,AstraZeneca's Data Engineering and Analytics Pipelines for Genomics Data,アストラゼネカのゲノムデータのデータエンジニアリングと分析パイプライン,Theater-Session,Others,その他,,,,,"AstraZeneca’s Snowflake-powered molecular data warehouse operationalizes FAIR (findable, accessible, interoperable, reusable) principles to address challenges in molecular data management. This architecture harmonizes and governs data, enabling analytics-ready data products for ML, BI and self-service pipelines. Features like metadata management, policy-based access control (PBAC), and robust governance foster collaboration, reusability and faster insights, driving R&D innovation at scale.
","アストラゼネカのSnowflakeを利用した分子データウェアハウスは、FAIR（発見可能、アクセス可能、相互運用可能、再利用可能）の原則を運用し、分子データ管理における課題に対処する。このアーキテクチャはデータを調和させ、管理し、ML、BI、セルフサービスパイプラインのための分析対応データ製品を可能にする。メタデータ管理、ポリシーベースアクセスコントロール（PBAC）、強固なガバナンスなどの機能により、コラボレーション、再利用性、より迅速な洞察を促進し、規模に応じた研究開発のイノベーションを推進します。
",1736778020367001bUXJ,https://reg.summit.snowflake.com/flow/snowflake/summit25/sessions/page/catalog/session/1736778020367001bUXJ
GO208,"Automate and Scale Role-Based Access Control with Snowflake, Okta and Terraform",Snowflake、Okta、Terraformによるロールベースのアクセス制御の自動化と拡張,Theater-Session,Others,その他,,,,,"This session explores a scalable and automated approach to managing role-based access control (RBAC) in Snowflake using Okta and Terraform. By integrating Okta’s identity management with Terraform’s infrastructure-as-code principles, organizations can streamline user provisioning, enforce least-privilege access, and ensure consistent role assignments tied to functional groups. The discussion will cover best practices for automating access control, aligning with organizational policies, and using declarative workflows to enhance security, scalability and operational efficiency.
","本セッションでは、OktaとTerraformを利用したSnowflakeにおけるロールベースアクセスコントロール（RBAC）管理のスケーラブルで自動化されたアプローチについて解説します。Oktaのアイデンティティ管理とTerraformのInfrastructure-as-Codeの原則を統合することで、組織はユーザープロビジョニングを合理化し、最小特権アクセスを強制し、機能グループに紐づく一貫した役割割り当てを保証することができます。このディスカッションでは、アクセスコントロールの自動化、組織のポリシーとの整合性、セキュリティ、スケーラビリティ、運用効率を強化するための宣言型ワークフローの使用に関するベストプラクティスを取り上げます。
",1738717146307001va2q,https://reg.summit.snowflake.com/flow/snowflake/summit25/sessions/page/catalog/session/1738717146307001va2q
DE313,Best Practices for Accelerating the Data Pipeline Development Lifecycle,データパイプラインの開発ライフサイクルを加速するベストプラクティス,Theater-Session,Data Engineering,データエンジニアリング,,,,,"Building resilient data transformation pipelines requires more than just writing code — it demands a structured lifecycle that ensures reliability, performance and maintainability. This session explores best practices for managing the data pipeline development lifecycle in Snowflake, from creation in a rich IDE to robust testing, monitoring and debugging. We’ll cover strategies for version control, data quality testing, leveraging telemetry for proactive monitoring, and using UI-driven tools for faster debugging. Attendees will gain actionable insights into streamlining development workflows, reducing downtime and ensuring data integrity across the pipeline.
","弾力性のあるデータ変換パイプラインの構築には、単にコードを書くだけでなく、信頼性、パフォーマンス、保守性を保証する構造化されたライフサイクルが必要です。このセッションでは、リッチなIDEでの作成から堅牢なテスト、モニタリング、デバッグまで、Snowflakeでデータパイプライン開発のライフサイクルを管理するためのベストプラクティスを探ります。バージョン管理、データ品質テスト、プロアクティブモニタリングのためのテレメトリの活用、より迅速なデバッグのためのUI駆動型ツールの使用などの戦略について説明します。参加者は、開発ワークフローを合理化し、ダウンタイムを削減し、パイプライン全体でデータの整合性を確保するための実用的な洞察を得ることができます。
",1739565531063001PvsP,https://reg.summit.snowflake.com/flow/snowflake/summit25/sessions/page/catalog/session/1739565531063001PvsP
GO219,Best Practices for AI Governance and Security in Snowflake,SnowflakeにおけるAIガバナンスとセキュリティのベストプラクティス,Breakout-Session,Others,その他,,,,,"To effectively govern your AI models end to end, you need visibility and controls across the entire data lifecycle. This includes ensuring data quality for model inputs, using data lineage to track dependencies and workflows, and enforcing safeguards on model outputs. Join this session to learn best practices for governing models with Snowflake — improving data integrity, increasing transparency into your AI pipeline, and ensuring responsible AI deployment.
","AIモデルをエンドツーエンドで効果的に管理するためには、データライフサイクル全体の可視化と管理が必要です。これには、モデル入力のデータ品質の確保、データリネージの使用による依存関係とワークフローの追跡、モデル出力のセーフガードの実施などが含まれます。このセッションに参加して、Snowflakeでモデルを管理するためのベストプラクティスを学び、データの整合性を向上させ、AIパイプラインの透明性を高め、責任あるAI導入を実現しましょう。
",1738961659390001GnYb,https://reg.summit.snowflake.com/flow/snowflake/summit25/sessions/page/catalog/session/1738961659390001GnYb
OP302,Best Practices for Boosting Your Snowflake Query Performance ,Snowflakeクエリのパフォーマンスを向上させるベストプラクティス,Breakout-Session,Others,その他,,,,,"Dive deep into the Snowflake query lifecycle and master techniques to boost performance. Learn actionable insights to enhance workloads by pinpointing and resolving common bottlenecks using Snowflake’s latest features for peak efficiency. Apply practical tips for troubleshooting and optimizations while gaining a detailed understanding of Snowflake’s compiler and optimizer. The expert insights and best practices shared in this session will transform your query performance!
","Snowflakeクエリのライフサイクルに深く入り込み、パフォーマンスを向上させるテクニックを習得します。Snowflakeの最新機能を使用して一般的なボトルネックを特定し解決することで、ワークロードを強化するための実用的な洞察を学び、最高の効率を実現します。Snowflakeのコンパイラとオプティマイザを詳細に理解しながら、トラブルシューティングと最適化のための実践的なヒントを適用します。このセッションで共有される専門家の洞察とベストプラクティスは、お客様のクエリパフォーマンスを変革します！
",1738625106273001ztwO,https://reg.summit.snowflake.com/flow/snowflake/summit25/sessions/page/catalog/session/1738625106273001ztwO
